column_list,num_features,model_name,best_params,resampling_indicator,clustering_indicator,train_matthews_corrcoef,val_matthews_corrcoef,train_f2_score,val_f2_score,train_val_matthews_corrcoef,test_matthews_corrcoef,train_val_f2_score,test_f2_score
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.6999758097560218, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.38989073294482135, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.4582529510789206, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.5615619891724359, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.025939529877853973, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.0242892751545751, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.3633762545732018, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.629867404220237, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.4387031642372439, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.7169757605747922, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.1178257048364133, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.9986784567088431, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 0.9978711265303932, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor112', 1, 2]",1,LogisticRegression,"{'C': 1.9776767521809795, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,yes,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.9590607131493141, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.5827613602570887, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.5965000517784906, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.5124890871521082, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.8150520749196426, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.5171032296965752, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.5694083310648075, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.0386124139807753, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.0319248118986348, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.8199339238296741, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.0033559171671662114, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.0261333603030893, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.6489487518533668, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.2375838488686168, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
